[mio cells/mL],[mio cells/mL],[1/mL],[1/mL],[1/day],[1/day],,
Chlorella,Chlorella-error,Brachionus,Brachionus-error,delta,meandelta,day#,chemostat
3.0271,0.0321,10.125,1.125,0.626825576,0.643073313,46,tan
2.9176,0.0415,11,0.125,0.626606939,0.643073313,47,tan
2.8865,0.0433,9.1875,0.6875,0.631074799,0.643073313,48,tan
2.78055,0.02205,9.6875,0.3125,0.62989941,0.643073313,49,tan
2.69485,0.01425,10.4375,0.9375,0.637507597,0.643073313,50,tan
2.83495,0.08605,8.4375,0.0625,0.631886367,0.643073313,51,tan
2.3613,0.0427,9.875,1.875,0.638042269,0.643073313,52,tan
2.6912,0.0977,3.3125,1.8125,0.650751943,0.643073313,53,tan
2.5835,0.0586,8,0.375,0.655483871,0.643073313,54,tan
2.5477,0.1512,10.625,1.25,0.647731654,0.643073313,55,tan
2.4852,0.0282,4.25,2,0.633528701,0.643073313,56,tan
2.359,0.0242,9.8125,0.5625,0.64829967,0.643073313,57,tan
2.05565,0.05045,5.9375,0.0625,0.648796002,0.643073313,58,tan
1.3967,0.0272,5.125,1,0.642974303,0.643073313,59,tan
1.454,0.0059,3.875,0.5,0.635235732,0.643073313,60,tan
1.6944,0.0004,2.75,0.5,0.633874354,0.643073313,61,tan
1.9038,0.0094,1.9375,0.1875,0.637606708,0.643073313,62,tan
2.247,0.0819,2.875,0.125,0.636395512,0.643073313,63,tan
2.22535,0.01655,1,0.375,0.632674298,0.643073313,64,tan
2.6916,0.0702,1.3125,0.3125,0.638482602,0.643073313,65,tan
2.6715,0.0947,0.5,0,0.634014758,0.643073313,66,tan
3.36665,0.09425,1.125,0.375,0.663415652,0.643073313,67,tan
4.34915,0.10405,0.875,0.125,0.643808751,0.643073313,68,tan
3.95435,0.11685,1.5,0.5,0.648015986,0.643073313,69,tan
4.5098,0.0617,1.125,0.25,0.641640628,0.643073313,70,tan
3.924,0.1745,1.1875,0.5625,0.633431085,0.643073313,71,tan
3.42795,0.14585,2.8125,0.5625,0.63942288,0.643073313,72,tan
3.0729,0.0843,2.75,0,0.639623425,0.643073313,73,tan
3.29585,0.15675,3.5,1,0.632104991,0.643073313,74,tan
3.33735,0.14925,5.625,0.125,0.629165556,0.643073313,75,tan
3.00895,0.05605,7.25,0.625,0.62391211,0.643073313,76,tan
3.44245,0.05145,4.125,0.25,0.639784946,0.643073313,77,tan
3.2657,0.0738,2.125,1,0.629534546,0.643073313,78,tan
3.5026,0.0192,5.4375,0.0625,0.637912287,0.643073313,79,tan
3.4867,0.4711,8.25,0.125,0.64171123,0.643073313,80,tan
